metric,bucket,count,percent,total
js_zh_en,<0.05,1186,22.44,5285
js_zh_en,0.05-0.15,3199,60.53,5285
js_zh_en,0.15-0.30,880,16.65,5285
js_zh_en,>=0.30,20,0.38,5285
js_ar_en,<0.05,1396,26.41,5285
js_ar_en,0.05-0.15,3047,57.65,5285
js_ar_en,0.15-0.30,825,15.61,5285
js_ar_en,>=0.30,17,0.32,5285
js_zh_ar,<0.05,360,6.81,5285
js_zh_ar,0.05-0.15,2777,52.54,5285
js_zh_ar,0.15-0.30,2050,38.79,5285
js_zh_ar,>=0.30,98,1.85,5285
mean_js,<0.05,205,3.88,5285
mean_js,0.05-0.15,4236,80.15,5285
mean_js,0.15-0.30,844,15.97,5285
mean_js,>=0.30,0,0.00,5285
